Date extracted,Rank,Title,Channel,Time posted,Views,Description,Video URL,Channel URL,Thumbnail URL
28/Dec/2021,33,Rauw Alejandro - Hunter (Video Oficial),RauwAlejandroTv,4 days ago,4.5M views,Rauw Alejandro Hunter (Video Oficial) Suscríbete al canal: https://goo.gl/Cqxmma Sigue a Rauw: Instagram: https://www.instagram.com/rauwalejandro Facebook: https://www.facebook.com/rauwalejandro...,https://www.youtube.com/watch?v=1246blVYb4c,https://www.youtube.com/channel/UC_Av98lDjf5KvFib5elhpYg,https://i.ytimg.com/vi/1246blVYb4c/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLBzdmTXlgegxcT52U9RAlOakBMRuw
28/Dec/2021,34,"Stray Kids(스트레이키즈), 크리스마스 특별 무대 ‘소리꾼 (Christmas Ver.)’ㅣ2021 SBS 가요대전(2021sbsgayo)ㅣSBS ENTER.",SBS Entertainment,2 days ago,1M views,2021 가요대전 SBS 예능 ‘2021 SBS 가요대전(2021sbsgayo)’ ☞ 12월 25일 오후 6시 본 방송 #2021SBS가요대전 #StrayKids #스트레이키즈 ▶ Hompage : https://www.sbs.co....,https://www.youtube.com/watch?v=BTA1iARSDGI,https://www.youtube.com/user/entertainmentSBS,https://i.ytimg.com/vi/BTA1iARSDGI/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLD0PxJeWkkGWuOtLj3wJ9pu2zAMxQ
28/Dec/2021,35,JEON SOMI (전소미) - ‘Anymore’ M/V,THEBLACKLABEL,2 days ago,12M views,JEON SOMI ‘XOXO’ THE FIRST ALBUM ON ALL STREAMING PLATFORMS 🔊 http://JEONSOMI.lnk.to/XOXO JEON SOMI ‘Anymore’ You got me second guessing everything You mess me up You mess me...,https://www.youtube.com/watch?v=DOBjwlfIZdE,https://www.youtube.com/c/THEBLACKLABEL,https://i.ytimg.com/vi/DOBjwlfIZdE/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLA6habArFDUYfo0r7fwZ2KacVNYqA
28/Dec/2021,36,Desplegando el universo: El lanzamiento del Telescopio espacial James Webb,NASA en Español,Streamed 2 days ago,336K views,"Sintoniza el lanzamiento del telescopio espacial James Webb, el observatorio espacial más grande y complejo jamás construido, el cual nos permitirá estudiar la formación de las primeras...",https://www.youtube.com/watch?v=tlDQCmwGM5g,https://www.youtube.com/c/nasa_es,https://i.ytimg.com/vi/tlDQCmwGM5g/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCad4mgPuH6CtAj1xAO2ddfudyoyg
28/Dec/2021,37,Los Palmeras & La Delio Valdez - Noche de Cumbia | El Cafetero / La Zenaida / Loquito por Ti,LA DELIO VALDEZ,4 days ago,248K views,NOCHE DE CUMBIA! En vivo en el #LunaPark Tracklist El Cafetero La Zenaida Loquito Por Ti Videos realizados por: Conurbana Audiovisual Sigannos en nuestras redes: https://www.instagram.com/orque...,https://www.youtube.com/watch?v=Lr63I4IZOPU,https://www.youtube.com/channel/UCi4rr5hrr_tNwGM67E9UKOg,https://i.ytimg.com/vi/Lr63I4IZOPU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLC3viJn7YFQjtkjestrTcYeMeu_9g
28/Dec/2021,38,CUANDO DE PEQUEÑO JUGABAS A LA Wii 🥵🎮 #shorts,Pedro Palencia,4 days ago,3.7M views,,https://www.youtube.com/shorts/wfXH-NK-Yfg,https://www.youtube.com/c/PedroPalencia,https://i.ytimg.com/vi/wfXH-NK-Yfg/hq2.jpg
28/Dec/2021,39,크리스마스 오프닝 스페셜 무대 ‘All I Want for Christmas Is You♬’ㅣ2021 SBS 가요대전(2021sbsgayo)ㅣSBS ENTER.,SBS Entertainment,2 days ago,2M views,2021 SBS 가요대전 SBS 예능 ‘2021 SBS 가요대전(2021sbsgayo)’ ☞ 12월 25일 오후 6시 본 방송 #2021SBS가요대전 #크리스마스 #오프닝무대 ▶ Hompage : https://www....,https://www.youtube.com/watch?v=cZ8QC64Yytk,https://www.youtube.com/user/entertainmentSBS,https://i.ytimg.com/vi/cZ8QC64Yytk/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAmvkMwexnVCAXnjcJ9ZuqKxnR8cg
28/Dec/2021,40,Marco Antonio Solís - Navidad Sin Ti 2021,Marco Antonio Solís,3 days ago,854K views,,https://www.youtube.com/watch?v=MHe54g4Ya80,https://www.youtube.com/channel/UCIKg4QVg91aCWxXWlUkKDLw,https://i.ytimg.com/vi/MHe54g4Ya80/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAY2MU3yVRA5U8kIHN24pUuHf4Acw
28/Dec/2021,41,Cocinando la cena Navideña 🤣| Leslie Mckenzzie 💕,Leslie Mckenzzie,3 days ago,1M views,,https://www.youtube.com/shorts/ZZaILThdKwI,https://www.youtube.com/c/LeslieMckenzzie,https://i.ytimg.com/vi_webp/ZZaILThdKwI/hq2.webp
28/Dec/2021,42,Los MODS MENOS DESCARGADOS de MINECRAFT,Farfadox,4 days ago,866K views,Larga vida al mod del Dulce de Leche ( ͡° ͜ʖ ͡°)✌ - Proba suerte con KeyDrop: https://key-drop.com/es CODIGO 0.55 USD: FARFADOX ----------------------------------------------------------...,https://www.youtube.com/watch?v=Q1EqYv5VqvA,https://www.youtube.com/c/Farfadox,https://i.ytimg.com/vi/Q1EqYv5VqvA/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLAU2RVpCJyLTW-TEzdqZo15cUuK_A
28/Dec/2021,43,Eso no se decide rápido! Soy Bans #shorts,Yo Soy Alfonso,4 days ago,1.6M views,,https://www.youtube.com/shorts/z8Mo4hXX1zI,https://www.youtube.com/c/YoSoyAlfonso,https://i.ytimg.com/vi/z8Mo4hXX1zI/hq2.jpg
28/Dec/2021,44,"Parto Bella Elis... Así fue nuestro dia, Karlis Romero y Gustavo Elis",Karlis Romero,2 days ago,306K views,,https://www.youtube.com/watch?v=DrioiPPVLqU,https://www.youtube.com/c/KarlisRomero,https://i.ytimg.com/vi/DrioiPPVLqU/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLDlzI2Tr1C9vfi_o01nzlQ0kir2nA
28/Dec/2021,45,JUKILOP ME DA EL MEJOR REGALO DE CUMPLEAÑOS 🎁 😭/ el súper trucha,El Super Trucha,4 days ago,2.8M views,HOLA TRUCHITAS GRACIAS POR VOLVER A VERME SE QUE ES ALGO FACIL ;) COMENTA QUE MAS QUIERES VER EN ESTA PECERA Te dejo mis redes🐟 🐟 INSTAGRAM: https://www.instagram.com/elsupertruc.....,https://www.youtube.com/watch?v=IR75whq6Pnw,https://www.youtube.com/c/ElSuperTrucha,https://i.ytimg.com/vi/IR75whq6Pnw/hqdefault.jpg?sqp=-oaymwEcCPYBEIoBSFXyq4qpAw4IARUAAIhCGAFwAcABBg==&rs=AOn4CLCoIqGCLOIB61IUHP5w0O7JIoKASQ
